模块,功能点,子任务/技术要点,优先级,验收标准/备注
全局组件,Loading组件,"3. 局部加载,P0,"
全局组件,Loading组件,"4. 文案配置,P0,"
全局组件,空状态组件,"1. 插图展示,P0,空状态正确展示；操作按钮可用"
全局组件,空状态组件,"2. 提示文案,P0,"
全局组件,空状态组件,"3. 操作按钮（可选）,P0,"
全局组件,空状态组件,"4. 样式可配置,P0,"
全局组件,骨架屏组件,"1. 卡片骨架,P1,骨架屏正常显示；动画流畅"
全局组件,骨架屏组件,"2. 列表骨架,P1,"
全局组件,骨架屏组件,"3. 文本骨架,P1,"
全局组件,骨架屏组件,"4. 动画效果,P1,"
全局工具,日期格式化,"1. date-fns集成,P0,日期正确格式化；相对时间准确"
全局工具,日期格式化,"2. 相对时间（刚刚/5分钟前）,P0,"
全局工具,日期格式化,"3. 绝对时间（2026-03-05）,P0,"
全局工具,日期格式化,"4. 时区处理,P0,"
全局工具,金额格式化,"1. 千分位分隔,P0,金额格式正确；货币符号正确"
全局工具,金额格式化,"2. 小数点处理,P0,"
全局工具,金额格式化,"3. 货币符号（¥）,P0,"
全局工具,金额格式化,"4. 隐藏金额（可选）,P0,"
全局工具,图片处理,"1. 图片懒加载,P1,图片懒加载正常；响应式图片正确加载"
全局工具,图片处理,"2. 响应式图片,P1,"
全局工具,图片处理,"3. 图片压缩,P1,"
全局工具,图片处理,"4. WebP格式支持,P1,"
全局工具,表单验证,"1. 必填验证,P0,验证规则生效；错误提示正确"
全局工具,表单验证,"2. 格式验证,P0,"
全局工具,表单验证,"3. 长度验证,P0,"
全局工具,表单验证,"4. 自定义验证规则,P0,"
全局工具,表单验证,"5. 错误提示,P0,"
全局工具,权限指令,"1. v-if权限判断,P0,权限判断正确；角色判断准确"
全局工具,权限指令,"2. v-show权限控制,P0,"
全局工具,权限指令,"3. 权限函数工具,P0,"
全局工具,权限指令,"4. 角色判断,P0,"
埋点系统,埋点SDK集成,"1. 第三方埋点SDK（友盟/神策等）或自研,P1,SDK正确初始化；事件正常上报"
埋点系统,埋点SDK集成,"2. 初始化配置,P1,"
埋点系统,埋点SDK集成,"3. 用户标识,P1,"
埋点系统,埋点SDK集成,"4. 事件上报接口,P1,"
埋点系统,埋点SDK集成,"5. 批量上报,P1,"
埋点系统,页面访问埋点,"1. 自动记录所有页面访问,P1,自动记录所有页面访问；停留时长准确"
埋点系统,页面访问埋点,"2. 页面路径,P1,"
埋点系统,页面访问埋点,"3. 页面标题,P1,"
埋点系统,页面访问埋点,"4. 访问时间,P1,"
埋点系统,页面访问埋点,"5. 停留时长,P1,"
埋点系统,页面访问埋点,"6. URL参数,P1,"
埋点系统,用户行为埋点,"1. 按钮点击,P1,记录用户交互行为；滚动深度准确"
埋点系统,用户行为埋点,"2. 链接点击,P1,"
埋点系统,用户行为埋点,"3. 表单提交,P1,"
埋点系统,用户行为埋点,"4. 搜索行为,P1,"
埋点系统,用户行为埋点,"5. 筛选行为,P1,"
埋点系统,用户行为埋点,"6. 滚动深度,P1,"
埋点系统,业务埋点,"1. 登录/注册,P1,记录关键业务节点；数据准确"
埋点系统,业务埋点,"2. 订单发布,P1,"
埋点系统,业务埋点,"3. 创作者接单,P1,"
埋点系统,业务埋点,"4. 视频上传,P1,"
埋点系统,业务埋点,"5. 审核操作,P1,"
埋点系统,业务埋点,"6. 交易完成,P1,"
埋点系统,错误埋点,"1. 接口错误,P1,自动捕获错误；错误信息完整"
埋点系统,错误埋点,"2. JS错误,P1,"
埋点系统,错误埋点,"3. 资源加载错误,P1,"
埋点系统,错误埋点,"4. 用户操作错误,P1,"
埋点系统,错误埋点,"5. 错误堆栈,P1,"
埋点系统,性能埋点,"1. 页面加载时间,P1,性能指标准确；上报正常"
埋点系统,性能埋点,"2. 接口响应时间,P1,"
埋点系统,性能埋点,"3. 资源加载时间,P1,"
埋点系统,性能埋点,"4. 首屏渲染时间,P1,"
埋点系统,埋点管理,"1. 埋点配置管理,P1,可配置埋点开关；采样率生效"
埋点系统,埋点管理,"2. 埋点开关,P1,"
埋点系统,埋点管理,"3. 采样率配置,P1,"
埋点系统,埋点管理,"4. 调试模式,P1,"
异常处理,网络异常处理,"1. 接口请求失败统一处理,P0,接口失败时显示toast；离线时提示""网络异常"""
异常处理,网络异常处理,"2. Axios拦截器,P0,"
异常处理,网络异常处理,"3. 错误提示Toast,P0,"
异常处理,网络异常处理,"4. 重试机制,P0,"
异常处理,网络异常处理,"5. 离线检测,P0,"
异常处理,空数据状态,"1. 列表空状态,P0,空状态正确展示；引导操作可用"
异常处理,空数据状态,"2. 详情空状态,P0,"
异常处理,空数据状态,"3. 搜索无结果,P0,"
异常处理,空数据状态,"4. 空状态插图+文案,P0,"
异常处理,空数据状态,"5. 引导操作,P0,"
异常处理,加载状态,"1. 骨架屏Loading,P0,加载状态正确展示；超时后显示错误提示"
异常处理,加载状态,"2. Spinner动画,P0,"
异常处理,加载状态,"3. 全屏加载,P0,"
异常处理,加载状态,"4. 局部加载,P0,"
异常处理,加载状态,"5. 加载超时处理,P0,"
异常处理,权限不足处理,"1. 未登录跳转登录,P0,未登录跳转登录；角色不符显示403"
异常处理,权限不足处理,"2. 角色不符提示,P0,"
异常处理,权限不足处理,"3. 权限错误统一处理,P0,"
异常处理,权限不足处理,"4. 403页面,P0,"
异常处理,404页面,"1. 404页面设计,P1,404页面正确展示；返回按钮正常"
异常处理,404页面,"2. 返回首页按钮,P1,"
异常处理,404页面,"3. 返回上一页按钮,P1,"
异常处理,500页面,"1. 500页面设计,P1,500页面正确展示；错误提示友好"
异常处理,500页面,"2. 错误提示,P1,"
异常处理,500页面,"3. 返回首页按钮,P1,"
异常处理,500页面,"4. 刷新按钮,P1,"
异常处理,表单验证,"1. 前端验证规则,P0,验证规则生效；错误提示准确定位"
异常处理,表单验证,"2. 实时验证,P0,"
异常处理,表单验证,"3. 提交前验证,P0,"
异常处理,表单验证,"4. 错误提示定位,P0,"
异常处理,表单验证,"5. 验证失败提示,P0,"
异常处理,文件上传异常,"1. 文件类型错误,P0,文件类型错误时提示；大小超限时提示；上传失败可重试"
异常处理,文件上传异常,"2. 文件大小超限,P0,"
异常处理,文件上传异常,"3. 上传失败重试,P0,"
异常处理,文件上传异常,"4. 上传超时处理,P0,"
异常处理,文件上传异常,"5. 断点续传（可选）,P0,"
异常处理,并发控制,"1. 重复提交防止,P0,防止重复提交；按钮节流生效"
异常处理,并发控制,"2. 按钮节流,P0,"
异常处理,并发控制,"3. 接口节流,P0,"
异常处理,并发控制,"4. 防抖处理,P0,"
异常处理,浏览器兼容性,"1. Chrome/Safari/Firefox测试,P1,主流浏览器正常显示；移动端适配"
异常处理,浏览器兼容性,"2. 移动端浏览器测试,P1,"
异常处理,浏览器兼容性,"3. Polyfill处理,P1,"
异常处理,浏览器兼容性,"4. CSS前缀处理,P1,"
异常处理,用户体验优化,"1. 页面切换loading,P1,操作后及时反馈；进度提示准确"
异常处理,用户体验优化,"2. 操作反馈,P1,"
异常处理,用户体验优化,"3. 进度提示,P1,"
异常处理,用户体验优化,"4. 成功/失败提示,P1,"
